192,186,183,124,69,51,18,19,26
194,161,132,109,94,84,33,23,29
173,166,150,58,68,70,8,15,17
34,30,29,140,109,84,226,217,216
236,237,240,245,244,246,141,129,128
209,194,178,230,228,224,81,64,52
170,186,197,221,230,237,69,85,113
49,12,11,170,98,80,119,23,12
179,164,166,137,33,31,21,21,39
192,197,200,46,36,32,166,127,97
49,45,41,0,0,0,0,0,0
149,135,135,18,25,15,50,62,50
158,101,64,227,194,158,38,28,22
192,157,132,219,215,209,75,64,55
19,18,18,188,168,151,111,92,86
90,70,49,207,209,197,189,188,165
130,103,87,162,173,180,50,31,38
17,14,14,116,79,79,21,19,24
139,90,65,56,36,29,175,175,172
137,134,127,41,42,38,240,242,243
220,151,146,41,48,65,69,23,26
175,155,108,105,73,54,41,28,25
164,158,179,31,22,49,85,86,124
17,16,46,100,73,70,207,193,168
200,183,188,115,94,110,41,31,50
31,30,30,197,186,182,111,104,101
13,23,33,77,54,52,120,116,124
22,17,14,11,9,10,70,61,56
197,147,132,44,29,22,151,99,53
208,208,202,22,23,24,97,92,89
171,142,123,16,10,13,38,31,33
197,203,206,44,59,82,134,142,155
53,33,44,125,109,108,151,163,188
16,11,8,145,102,64,85,52,28
202,176,125,146,116,80,58,47,36
16,12,9,28,11,4,91,62,43
171,170,165,43,27,16,146,113,91
14,22,56,126,128,143,49,46,55
156,117,86,86,53,38,205,192,174
208,191,125,140,111,68,41,38,26
79,46,59,161,137,134,212,214,223
185,180,183,65,21,19,36,36,56
7,9,14,190,153,139,76,62,57
172,152,135,120,94,68,26,23,25
52,34,22,142,102,47,197,160,112
70,53,46,146,121,103,25,24,31
122,93,64,37,24,17,201,193,184
166,149,142,84,78,65,7,12,9
154,100,85,220,212,200,43,37,44
186,158,143,111,66,63,31,33,44
187,181,167,43,43,48,117,108,99
57,82,119,153,172,191,156,106,71
73,67,68,33,29,30,148,133,122
127,103,85,7,7,10,11,14,26
183,214,246,19,17,19,108,97,92
31,30,46,130,131,149,57,65,103
155,124,92,62,52,39,3,3,9
67,5,20,158,158,175,118,87,78
177,137,111,70,47,43,228,203,194
163,152,126,47,41,43,190,196,193
40,5,4,92,84,84,6,22,49
89,69,93,221,194,183,10,20,67
134,124,141,194,194,192,59,56,52
118,79,51,41,32,26,155,141,116
118,46,35,180,163,155,29,28,37
0,0,0,93,66,50,6,4,4
49,39,41,162,166,174,106,107,124
64,75,85,157,140,131,3,6,10
76,67,93,183,175,186,59,29,22
51,68,86,160,100,68,141,163,175
