192,187,184,133,73,52,21,21,28
26,29,42,144,80,70,195,179,171
31,21,28,96,78,69,151,131,114
57,68,71,171,163,147,10,17,19
200,166,144,23,21,22,118,95,76
243,243,245,235,236,240,133,121,119
177,144,128,78,42,38,229,236,243
70,56,47,211,196,181,235,234,231
187,201,211,86,102,127,226,235,241
53,13,12,131,26,13,166,131,114
140,32,30,179,164,167,23,23,40
192,196,199,164,125,95,45,35,31
37,25,19,138,68,19,192,150,119
202,201,196,9,9,8,123,106,86
181,158,153,65,74,72,24,33,18
156,100,63,229,200,168,32,25,20
209,192,178,82,70,59,30,28,23
35,31,29,171,155,142,243,191,160
59,44,33,198,200,183,154,125,90
104,48,44,159,163,166,31,36,43
200,179,203,164,108,95,41,25,26
31,33,49,149,82,73,200,183,174
20,18,18,112,106,102,182,214,248
154,105,79,83,52,37,175,177,176
9,9,9,40,34,32,164,153,136
208,178,157,25,22,17,104,121,125
28,23,20,58,41,55,218,138,135
174,153,106,33,23,22,92,64,48
139,141,176,42,42,79,133,94,87
219,211,188,135,103,84,27,23,50
43,33,54,163,127,128,211,206,215
9,9,9,123,116,113,33,33,33
101,71,69,19,27,36,128,142,155
20,15,13,56,48,44,15,11,11
37,25,21,128,78,47,176,125,72
49,50,53,172,167,158,13,13,13
22,15,18,7,4,6,103,85,77
62,102,144,171,168,168,39,33,39
64,39,51,15,16,23,148,156,177
176,178,190,27,16,11,135,92,54
146,116,80,58,47,36,202,177,124
34,18,9,207,170,139,143,98,70
153,139,126,28,19,13,2,1,1
36,44,71,145,100,64,151,158,179
210,201,187,87,53,39,160,123,91
38,35,25,136,108,65,207,191,125
84,51,62,172,158,164,213,215,225
190,185,189,40,21,34,101,77,74
214,214,219,182,134,113,20,19,22
20,18,22,91,72,56,163,140,118
171,132,82,22,17,18,79,50,23
32,29,34,56,51,59,130,104,84
94,66,39,9,6,12,178,161,144
42,47,38,5,9,7,112,101,90
70,45,49,230,226,216,187,163,144
70,64,74,34,23,34,172,142,125
23,23,25,139,131,120,56,56,61
135,120,116,45,46,49,229,211,185
153,140,130,35,31,33,81,72,72
50,33,28,97,111,143,214,173,151
218,211,199,16,17,27,150,94,46
18,16,18,183,213,246,106,96,90
96,99,124,34,33,54,163,167,182
151,121,89,38,32,29,1,1,5
204,207,220,79,26,34,134,129,144
117,78,63,39,29,32,198,162,139
189,192,184,159,146,121,43,39,41
127,97,88,39,12,11,2,24,56
197,164,156,17,15,38,18,29,84
98,91,98,205,207,204,171,167,174
155,141,118,118,80,51,41,32,26
73,30,34,167,140,128,24,22,28
0,0,0,170,114,77,29,27,27
58,80,117,151,166,183,155,112,86
154,138,130,59,58,60,212,212,204
201,195,207,121,106,118,57,40,52
97,61,44,51,101,142,159,162,163
168,122,98,48,37,41,218,208,205
167,136,98,197,191,175,73,62,54
190,152,141,26,19,22,121,85,65
220,193,167,69,29,30,246,229,209
199,165,143,32,30,30,4,4,4
75,78,84,143,156,163,17,28,39
220,181,154,23,21,20,152,88,54
193,190,165,209,213,199,89,56,34
31,28,34,186,167,151,95,83,77
